Time,"UTC TIME",Anum,Fnum,Height,Speed,Angle,Longitude,Latitude
1747788736,"2025-05-21 00:52:16",B5740,CZ3401,8412.48,814.88,276,112.28357696533,24.534713745117
1747788756,"2025-05-21 00:52:36",B5740,CZ3401,8412.48,814.88,276,112.24560546875,24.538242340088
1747788771,"2025-05-21 00:52:51",B5740,CZ3401,8412.48,814.88,276,112.20896911621,24.541688919067
1747788791,"2025-05-21 00:53:11",B5740,CZ3401,8412.48,818.584,276,112.16667938232,24.545597076416
1747788806,"2025-05-21 00:53:26",B5740,CZ3401,8412.48,816.732,276,112.12837982178,24.54913520813
1747788821,"2025-05-21 00:53:41",B5740,CZ3401,8412.48,818.584,276,112.09396362305,24.552429199219
1747788836,"2025-05-21 00:53:56",B5740,CZ3401,8412.48,816.732,276,112.060546875,24.555633544922
1747788856,"2025-05-21 00:54:16",B5740,CZ3401,8412.48,814.88,276,112.02131652832,24.559331893921
1747788867,"2025-05-21 00:54:27",B5740,CZ3401,8412.48,814.88,276,111.99820709229,24.561473846436
1747788879,"2025-05-21 00:54:39",B5740,CZ3401,8412.48,811.176,276,111.97174072266,24.56396484375
1747788894,"2025-05-21 00:54:54",B5740,CZ3401,8412.48,809.324,276,111.9390335083,24.566986083984
1747788909,"2025-05-21 00:55:09",B5740,CZ3401,8412.48,807.472,276,111.8971786499,24.570877075195
1747788924,"2025-05-21 00:55:24",B5740,CZ3401,8412.48,807.472,276,111.86376190186,24.573944091797
1747788943,"2025-05-21 00:55:43",B5740,CZ3401,8412.48,807.472,276,111.82479858398,24.577560424805
1747788957,"2025-05-21 00:55:57",B5740,CZ3401,8412.48,807.472,276,111.79229736328,24.580581665039
1747788972,"2025-05-21 00:56:12",B5740,CZ3401,8412.48,807.472,276,111.76376342773,24.583213806152
1747788987,"2025-05-21 00:56:27",B5740,CZ3401,8412.48,807.472,276,111.73271942139,24.586051940918
1747789020,"2025-05-21 00:57:00",B5740,CZ3401,8412.48,807.472,276,111.6541519165,24.593399047852
1747789049,"2025-05-21 00:57:29",B5740,CZ3401,8412.48,809.324,276,111.59597015381,24.598754882812
1747789064,"2025-05-21 00:57:44",B5740,CZ3401,8412.48,809.324,276,111.56133270264,24.601867675781
1747789079,"2025-05-21 00:57:59",B5740,CZ3401,8412.48,811.176,276,111.52841949463,24.604843139648
1747789094,"2025-05-21 00:58:14",B5740,CZ3401,8412.48,809.324,276,111.49671936035,24.607698440552
1747789109,"2025-05-21 00:58:29",B5740,CZ3401,8412.48,811.176,276,111.46292877197,24.610771179199
1747789124,"2025-05-21 00:58:44",B5740,CZ3401,8412.48,811.176,276,111.4301071167,24.613677978516
1747789139,"2025-05-21 00:58:59",B5740,CZ3401,8412.48,811.176,276,111.39530181885,24.616823196411
1747789156,"2025-05-21 00:59:16",B5740,CZ3401,8412.48,811.176,276,111.35109710693,24.620733261108
1747789171,"2025-05-21 00:59:31",B5740,CZ3401,8412.48,811.176,275,111.32888793945,24.622695922852
1747789186,"2025-05-21 00:59:46",B5740,CZ3401,8412.48,811.176,276,111.29300689697,24.625900268555
1747789201,"2025-05-21 01:00:01",B5740,CZ3401,8412.48,809.324,276,111.25963592529,24.628833770752
