dataTime,locType,longitude,latitude,heading,accuracy,speed,distance,isBackForeground,stepType,altitude
1747788334,1,112.87680053711,24.109920501709,0,14,787.1,0,0,0,6797.04
1747788349,1,112.86276245117,24.138410568237,0,14,790.804,0,0,0,6941.82
1747788364,1,112.85011291504,24.169319152832,0,14,796.36,0,0,0,7078.98
1747788379,1,112.84244537354,24.192314147949,0,14,800.064,0,0,0,7132.32
1747788394,1,112.83285522461,24.220943450928,0,14,796.36,0,0,0,7200.9
1747788409,1,112.82328033447,24.249435424805,0,14,794.508,0,0,0,7200.9
1747788424,1,112.81423187256,24.276489257812,0,14,794.508,0,0,0,7193.28
1747788439,1,112.8044128418,24.305879592896,0,14,794.508,0,0,0,7193.28
1747788454,1,112.79347991943,24.338520050049,0,14,794.508,0,0,0,7193.28
1747788469,1,112.78424835205,24.366233825684,0,14,794.508,0,0,0,7200.9
1747788484,1,112.77378845215,24.397569656372,0,14,792.656,0,0,0,7284.72
1747788499,1,112.7640914917,24.425540924072,0,14,792.656,0,0,0,7360.92
1747788519,1,112.74388122559,24.456960678101,0,14,788.952,0,0,0,7475.22
1747788534,1,112.72232055664,24.475980758667,0,14,785.248,0,0,0,7589.52
1747788559,1,112.67422485352,24.495927810669,0,14,783.396,0,0,0,7780.02
1747788573,1,112.63541412354,24.500581741333,0,14,788.952,0,0,0,7917.18
1747788594,1,112.59229278564,24.505191802979,0,14,790.804,0,0,0,8069.58
1747788608,1,112.56845855713,24.507610321045,0,14,790.804,0,0,0,8153.4
1747788622,1,112.5366897583,24.510780334473,0,14,790.804,0,0,0,8275.32
1747788636,1,112.50031280518,24.514221191406,0,14,796.36,0,0,0,8389.62
1747788651,1,112.47393035889,24.516689300537,0,14,800.064,0,0,0,8420.1
1747788662,1,112.45223999023,24.518739700317,0,14,801.916,0,0,0,8420.1
1747788681,1,112.40904998779,24.5227394104,0,14,803.768,0,0,0,8412.48
1747788696,1,112.37314605713,24.526062011719,0,14,805.62,0,0,0,8412.48
1747788721,1,112.32141876221,24.531097412109,0,14,811.176,0,0,0,8412.48
1747788736,1,112.28357696533,24.534713745117,0,14,814.88,0,0,0,8412.48
